iter	Passed	Remaining
175	23280	108995
176	23380	108710
177	23473	108401
178	23571	108112
179	23668	107823
180	23757	107499
181	23847	107182
182	23938	106871
183	24026	106550
184	24121	106266
185	24230	106039
186	24330	105777
187	24426	105501
188	24526	105241
189	24638	105038
190	24755	104854
191	24851	104581
192	24953	104339
193	25049	104072
194	25149	103823
195	25247	103567
196	25353	103346
197	25449	103081
198	25546	102828
199	25640	102560
200	25734	102296
201	25827	102029
202	25919	101764
203	26019	101528
204	26115	101279
205	26216	101048
206	26315	100811
207	26411	100565
208	26506	100320
209	26604	100082
210	26699	99838
211	26794	99596
212	26890	99356
213	26980	99097
214	27078	98866
215	27175	98635
216	27268	98394
217	27367	98172
218	27463	97940
219	27560	97715
220	27659	97496
221	27755	97269
222	27856	97059
223	27947	96818
224	28055	96633
225	28150	96408
226	28248	96193
227	28351	95998
228	28446	95774
229	28543	95559
230	28641	95348
231	28737	95131
232	28832	94912
233	28926	94689
234	29025	94487
235	29123	94280
236	29226	94091
237	29331	93911
238	29426	93696
239	29529	93510
240	29627	93307
241	29729	93119
242	29834	92939
243	29930	92734
244	30021	92513
245	30117	92312
246	30214	92112
247	30306	91898
248	30404	91702
249	30500	91500
250	30594	91295
251	30688	91089
252	30783	90889
253	30881	90698
254	30972	90489
255	31069	90295
256	31162	90092
257	31265	89917
258	31360	89722
259	31454	89525
260	31558	89354
261	31655	89168
262	31749	88970
263	31843	88776
264	31942	88595
265	32035	88398
266	32131	88211
267	32224	88015
268	32329	87854
269	32425	87668
270	32519	87479
271	32612	87285
272	32719	87132
273	32815	86950
274	32909	86761
275	33001	86568
276	33091	86371
277	33185	86186
278	33301	86058
279	33396	85877
280	33502	85723
281	33601	85553
282	33694	85366
283	33786	85180
284	33880	84998
285	33977	84824
286	34075	84654
287	34177	84493
288	34270	84312
289	34367	84141
290	34464	83969
291	34557	83790
292	34654	83621
293	34754	83457
294	34853	83295
295	34949	83124
296	35043	82948
297	35139	82779
298	35236	82611
299	35341	82464
300	35435	82291
301	35535	82131
302	35637	81977
303	35727	81797
304	35821	81626
305	35917	81459
306	36010	81287
307	36105	81120
308	36201	80956
309	36296	80788
310	36392	80625
311	36483	80449
312	36583	80297
313	36680	80135
314	36773	79967
315	36864	79796
316	36956	79626
317	37048	79455
318	37140	79286
319	37236	79127
320	37335	78974
321	37432	78817
322	37526	78655
323	37621	78493
324	37721	78344
325	37824	78201
326	37917	78037
327	38009	77873
328	38107	77721
329	38200	77558
330	38290	77391
331	38391	77245
332	38486	77087
333	38584	76938
334	38678	76780
335	38774	76625
336	38868	76468
337	38962	76310
338	39056	76154
339	39149	75997
340	39243	75839
341	39340	75690
342	39431	75529
343	39522	75367
344	39614	75209
345	39706	75051
346	39804	74905
347	39903	74762
348	39996	74607
349	40093	74459
350	40189	74309
351	40285	74161
352	40379	74009
353	40472	73855
354	40595	73757
355	40694	73615
356	40789	73466
357	40885	73319
358	40977	73166
359	41076	73025
360	41183	72897
361	41277	72747
362	41374	72604
363	41470	72459
364	41567	72316
365	41660	72166
366	41756	72021
367	41848	71869
368	41942	71723
369	42034	71572
370	42127	71424
371	42222	71278
372	42314	71129
373	42407	70981
374	42502	70836
375	42597	70693
376	42692	70550
377	42789	70410
378	42883	70266
379	42977	70120
380	43068	69972
381	43169	69839
382	43263	69696
383	43357	69553
384	43450	69407
385	43540	69258
386	43635	69118
387	43727	68971
388	43820	68829
389	43914	68686
390	44008	68545
391	44104	68406
392	44200	68269
393	44289	68121
394	44386	67984
395	44475	67836
396	44567	67692
397	44659	67550
398	44751	67408
399	44849	67274
400	44953	67150
401	45044	67005
402	45143	66875
403	45237	66737
404	45333	66601
405	45429	66465
406	45524	66328
407	45619	66193
408	45731	66082
409	45842	65968
410	45957	65861
411	46067	65747
412	46178	65633
413	46278	65505
414	46381	65381
415	46486	65259
416	46584	65129
417	46684	65001
418	46790	64881
419	46909	64779
420	47024	64673
421	47140	64566
422	47251	64454
423	47385	64372
424	47521	64293
425	47660	64219
426	47771	64105
427	47884	63994
428	47983	63865
429	48082	63737
430	48182	63609
431	48281	63481
432	48388	63363
433	48485	63232
434	48579	63096
435	48669	62958
436	48762	62822
437	48855	62687
438	48953	62557
439	49047	62423
440	49142	62291
441	49241	62164
442	49345	62044
443	49437	61908
444	49532	61776
445	49626	61644
446	49723	61514
447	49821	61387
448	49916	61256
449	50009	61122
450	50103	60990
451	50198	60859
452	50290	60725
453	50392	60603
454	50490	60477
455	50585	60347
456	50682	60219
457	50776	60089
458	50871	59959
459	50965	59828
460	51058	59697
461	51155	59570
462	51249	59441
463	51350	59318
464	51446	59191
465	51539	59059
466	51633	58930
467	51732	58807
468	51826	58678
469	51922	58550
470	52018	58424
471	52112	58295
472	52208	58169
473	52308	58046
474	52403	57920
475	52496	57790
476	52592	57664
477	52689	57539
478	52788	57416
479	52881	57287
480	52975	57160
481	53071	57034
482	53165	56908
483	53256	56777
484	53352	56652
485	53447	56526
486	53542	56400
487	53637	56275
488	53729	56146
489	53824	56021
490	53918	55895
491	54010	55767
492	54107	55643
493	54200	55517
494	54294	55391
495	54387	55264
496	54484	55142
497	54578	55016
498	54670	54889
499	54763	54763
500	54856	54637
501	54964	54526
502	55061	54405
503	55157	54281
504	55252	54158
505	55349	54036
506	55441	53911
507	55536	53787
508	55632	53665
509	55726	53540
510	55822	53419
511	55917	53296
512	56008	53169
513	56102	53046
514	56195	52922
515	56293	52802
516	56387	52679
517	56484	52559
518	56578	52435
519	56669	52309
520	56764	52188
521	56858	52065
522	56950	51941
523	57043	51818
524	57136	51695
525	57229	51571
526	57331	51456
527	57425	51334
528	57520	51214
529	57614	51091
530	57709	50970
531	57807	50853
532	57900	50731
533	57997	50612
534	58090	50490
535	58189	50372
536	58289	50256
537	58384	50136
538	58478	50015
539	58572	49895
540	58667	49775
541	58768	49660
542	58862	49540
543	58956	49419
544	59047	49296
545	59145	49179
546	59239	49059
547	59339	48944
548	59435	48825
549	59530	48706
550	59623	48586
551	59717	48466
552	59813	48348
553	59911	48232
554	60005	48112
555	60097	47991
556	60189	47870
557	60287	47754
558	60380	47634
559	60475	47516
560	60570	47398
561	60662	47277
562	60758	47160
563	60848	47038
564	60940	46918
565	61034	46800
566	61128	46681
567	61221	46563
568	61319	46447
569	61411	46327
570	61507	46211
571	61608	46098
572	61704	45981
573	61800	45865
574	61894	45747
575	61986	45629
576	62080	45511
577	62172	45392
578	62267	45275
579	62358	45156
580	62452	45038
581	62544	44920
582	62638	44803
583	62730	44684
584	62825	44568
585	62918	44450
586	63012	44334
587	63106	44217
588	63195	44097
589	63290	43981
590	63385	43865
591	63480	43749
592	63572	43632
593	63664	43514
594	63756	43397
595	63848	43279
596	63938	43161
597	64031	43044
598	64122	42926
599	64216	42811
600	64311	42695
601	64404	42580
602	64495	42462
603	64587	42345
604	64680	42229
605	64772	42112
606	64865	41996
607	64957	41880
608	65059	41770
609	65155	41656
610	65251	41542
611	65344	41427
612	65437	41311
613	65532	41197
614	65623	41081
615	65716	40966
616	65809	40850
617	65900	40734
618	65991	40618
619	66081	40501
620	66173	40386
621	66271	40274
622	66365	40160
623	66459	40046
624	66554	39932
625	66649	39819
626	66745	39706
627	66837	39591
628	66928	39476
629	67020	39361
630	67111	39245
631	67201	39129
632	67295	39016
633	67387	38901
634	67482	38788
635	67572	38673
636	67664	38558
637	67756	38444
638	67850	38331
639	67942	38217
640	68034	38103
641	68129	37991
642	68221	37877
643	68312	37762
644	68406	37650
645	68501	37537
646	68596	37426
647	68688	37312
648	68787	37202
649	68882	37090
650	68978	36979
651	69072	36866
652	69169	36756
653	69264	36644
654	69359	36533
655	69456	36422
656	69548	36309
657	69646	36199
658	69741	36087
659	69838	35977
660	69929	35863
661	70022	35751
662	70114	35639
663	70211	35528
664	70311	35420
665	70406	35309
666	70496	35195
667	70593	35085
668	70688	34974
669	70785	34864
670	70879	34753
671	70971	34641
672	71069	34531
673	71167	34422
674	71260	34310
675	71362	34203
676	71456	34092
677	71549	33980
678	71642	33869
679	71734	33757
680	71828	33646
681	71924	33536
682	72023	33428
683	72117	33317
684	72210	33206
685	72304	33095
686	72395	32983
687	72492	32874
688	72590	32765
689	72683	32654
690	72783	32547
691	72876	32436
692	72971	32326
693	73069	32217
694	73167	32109
695	73262	31999
696	73358	31890
697	73456	31781
698	73550	31671
699	73643	31561
700	73740	31452
701	73836	31343
702	73934	31235
703	74033	31127
704	74129	31018
705	74223	30908
706	74318	30799
707	74414	30690
708	74511	30582
709	74605	30472
710	74699	30363
711	74795	30254
712	74888	30144
713	74985	30036
714	75088	29930
715	75196	29826
716	75299	29720
717	75403	29615
718	75500	29507
719	75597	29399
720	75695	29291
721	75791	29182
722	75886	29074
723	75981	28965
724	76082	28858
725	76175	28749
726	76270	28640
727	76362	28530
728	76456	28422
729	76551	28313
730	76652	28207
731	76751	28100
732	76845	27991
733	76940	27883
734	77035	27774
735	77129	27665
736	77226	27558
737	77321	27450
738	77419	27343
739	77514	27234
740	77609	27126
741	77704	27018
742	77799	26910
743	77896	26802
744	77996	26696
745	78099	26591
746	78204	26486
747	78313	26383
748	78412	26276
749	78509	26169
750	78603	26061
751	78697	25953
752	78800	25848
753	78894	25740
754	78986	25631
755	79084	25524
756	79178	25416
757	79275	25309
758	79377	25204
759	79475	25097
760	79572	24990
761	79670	24883
762	79772	24778
763	79873	24672
764	79972	24566
765	80073	24461
766	80172	24354
767	80273	24249
768	80376	24144
769	80476	24038
770	80572	23931
771	80669	23824
772	80767	23718
773	80861	23610
774	80957	23503
775	81050	23396
776	81147	23289
777	81249	23184
778	81348	23078
779	81443	22971
780	81537	22863
781	81634	22757
782	81733	22651
783	81832	22545
784	81927	22438
785	82021	22331
786	82114	22224
787	82209	22117
788	82305	22010
789	82401	21904
790	82494	21796
791	82584	21688
792	82678	21582
793	82775	21475
794	82878	21371
795	82974	21264
796	83071	21158
797	83170	21053
798	83274	20948
799	83370	20842
800	83469	20737
801	83564	20630
802	83660	20524
803	83762	20419
804	83862	20314
805	83958	20208
806	84054	20102
807	84148	19995
808	84243	19889
809	84337	19782
810	84433	19676
811	84532	19571
812	84633	19466
813	84732	19361
814	84828	19255
815	84928	19150
816	85040	19048
817	85137	18942
818	85236	18837
819	85336	18732
820	85434	18627
821	85529	18521
822	85623	18414
823	85717	18308
824	85810	18202
825	85905	18096
826	86009	17992
827	86101	17885
828	86193	17779
829	86285	17673
830	86389	17568
831	86488	17463
832	86585	17358
833	86686	17254
834	86797	17151
835	86899	17047
836	87000	16942
837	87094	16836
838	87193	16732
839	87284	16625
840	87382	16520
841	87484	16416
842	87583	16311
843	87678	16206
844	87779	16101
845	87878	15996
846	87973	15891
847	88068	15785
848	88169	15681
849	88264	15576
850	88360	15470
851	88456	15365
852	88548	15259
853	88642	15154
854	88739	15049
855	88831	14943
856	88925	14838
857	89020	14732
858	89114	14627
859	89205	14521
860	89297	14416
861	89393	14311
862	89488	14206
863	89578	14100
864	89672	13995
865	89770	13890
866	89865	13785
867	89961	13680
868	90052	13575
869	90148	13470
870	90242	13365
871	90335	13260
872	90430	13155
873	90528	13050
874	90622	12946
875	90721	12841
876	90817	12737
877	90912	12632
878	91004	12527
879	91096	12422
880	91189	12317
881	91284	12212
882	91385	12108
883	91482	12004
884	91577	11899
885	91673	11795
886	91765	11690
887	91864	11586
888	91964	11482
889	92059	11378
890	92156	11273
891	92258	11170
892	92349	11065
893	92445	10961
894	92536	10856
895	92636	10752
896	92733	10648
897	92825	10543
898	92925	10439
899	93023	10335
900	93124	10232
901	93223	10128
902	93319	10024
903	93419	9920
904	93516	9816
905	93610	9712
906	93703	9607
907	93797	9503
908	93892	9399
909	93985	9295
910	94081	9191
911	94171	9086
912	94272	8983
913	94372	8879
914	94476	8776
915	94578	8673
916	94674	8569
917	94775	8465
918	94875	8362
919	94971	8258
920	95067	8154
921	95162	8050
922	95270	7947
923	95370	7844
924	95472	7741
925	95568	7637
926	95661	7533
927	95756	7429
928	95852	7325
929	95947	7221
930	96044	7118
931	96143	7014
932	96239	6911
933	96334	6807
934	96428	6703
935	96528	6600
936	96625	6496
937	96735	6394
938	96835	6290
939	96932	6187
940	97027	6083
941	97122	5979
942	97224	5876
943	97323	5773
944	97421	5670
945	97518	5566
946	97613	5463
947	97704	5359
948	97798	5255
949	97897	5152
950	97993	5049
951	98088	4945
952	98198	4842
953	98302	4739
954	98418	4637
955	98540	4535
956	98634	4431
957	98736	4328
958	98835	4225
959	98955	4123
960	99057	4020
961	99151	3916
962	99246	3813
963	99344	3709
964	99439	3606
965	99534	3503
966	99634	3400
967	99735	3297
968	99834	3193
969	99928	3090
970	100031	2987
971	100128	2884
972	100229	2781
973	100324	2678
974	100430	2575
975	100534	2472
976	100628	2368
977	100722	2265
978	100821	2162
979	100920	2059
980	101017	1956
981	101110	1853
982	101213	1750
983	101312	1647
984	101415	1544
985	101509	1441
986	101606	1338
987	101704	1235
988	101801	1132
989	101902	1029
990	102001	926
991	102101	823
992	102193	720
993	102289	617
994	102392	514
995	102486	411
996	102576	308
997	102671	205
998	102774	102
999	102875	0
