iter	MultiClass
445	0.4792982689
446	0.4792871735
447	0.4792452998
448	0.4792282969
449	0.4792071407
450	0.4791856408
451	0.4791662746
452	0.4788268821
453	0.4787214854
454	0.4787071989
455	0.478670276
456	0.4786320332
457	0.4785862248
458	0.4785634395
459	0.4785373116
460	0.478531004
461	0.4785163484
462	0.4785068236
463	0.4784968157
464	0.4784802545
465	0.4784489514
466	0.4784321174
467	0.4784059232
468	0.4783987539
469	0.4783892986
470	0.4783510123
471	0.4782713123
472	0.478258086
473	0.4782451451
474	0.4782258305
475	0.4782130954
476	0.4781870482
477	0.4781781136
478	0.4781530315
479	0.4781142373
480	0.4780520457
481	0.4780278205
482	0.4780180918
483	0.4780067378
484	0.4779878006
485	0.4779648778
486	0.4779268144
487	0.4779165954
488	0.4779020552
489	0.4778833407
490	0.4778708169
491	0.4777921495
492	0.477785798
493	0.477773988
494	0.4777531623
495	0.4777432167
496	0.4775976363
497	0.4775556344
498	0.4775384916
499	0.4775088934
500	0.4774911402
501	0.4774668242
502	0.4774505418
503	0.4774454923
504	0.4774378933
505	0.4774290225
506	0.4774125814
507	0.4774035882
508	0.4773794802
509	0.4773718128
510	0.4773609184
511	0.4773190634
512	0.4771758378
513	0.477162726
514	0.4771463856
515	0.4771111519
516	0.4770819702
517	0.4770708478
518	0.4770641984
519	0.4770470443
520	0.4769758494
521	0.4769597116
522	0.4768734434
523	0.4768639008
524	0.4768439378
525	0.476836179
526	0.4768281222
527	0.4768175294
528	0.4767983146
529	0.4767839028
530	0.476766262
531	0.4767572071
532	0.4767401889
533	0.4767151743
534	0.4766958491
535	0.4766875909
536	0.4766794843
537	0.4766533162
538	0.4766348799
539	0.4766275879
540	0.4766129711
541	0.4765950898
542	0.4765849583
543	0.476570711
544	0.476555357
545	0.4765458639
546	0.4765374294
547	0.4765149794
548	0.4761962954
549	0.4761895662
550	0.4761791083
551	0.476169822
552	0.4761543728
553	0.4760770639
554	0.4760591703
555	0.4760298905
556	0.475958034
557	0.4759341638
558	0.4759132846
559	0.4758942979
560	0.4758793227
561	0.4758701682
562	0.4757542609
563	0.4757423813
564	0.475724921
565	0.4756800826
566	0.4756740394
567	0.4756620733
568	0.4756443499
569	0.4756168587
570	0.4756001259
571	0.4755912766
572	0.4755605178
573	0.4755533582
574	0.4755425041
575	0.4753502017
576	0.475343787
577	0.4753229709
578	0.4753100772
579	0.4752311164
580	0.4752196513
581	0.4752112128
582	0.4751979516
583	0.4751839133
584	0.4751751536
585	0.4751610585
586	0.4751496746
587	0.475124019
588	0.4751105392
589	0.4750971464
590	0.4750882595
591	0.4750504162
592	0.4750426084
593	0.4750055973
594	0.4749308664
595	0.4749245586
596	0.4749184928
597	0.4749012278
598	0.47489102
599	0.4748769013
600	0.4748150402
601	0.4748036202
602	0.4747914987
603	0.4747198592
604	0.4747009211
605	0.4746841138
606	0.4746766587
607	0.47466132
608	0.4746470891
609	0.4744397569
610	0.4743802346
611	0.4743207924
612	0.4742779095
613	0.4741902429
614	0.4741807102
615	0.4741653972
616	0.4741587749
617	0.4741460477
618	0.474135133
619	0.4741229305
620	0.4741155804
621	0.4741035762
622	0.4740640399
623	0.4740453887
624	0.4740314379
625	0.4739783322
626	0.4739541493
627	0.4739400409
628	0.4738905198
629	0.4738047945
630	0.4737965557
631	0.4737485895
632	0.4737124716
633	0.4737046567
634	0.4736785425
635	0.4736641998
636	0.4736550685
637	0.4736426068
638	0.4736285805
639	0.4736163309
640	0.4735006897
641	0.4734875459
642	0.4734778563
643	0.4734634542
644	0.4734537843
645	0.4734399292
646	0.4734203182
647	0.4733991919
648	0.4733819874
649	0.4733631512
650	0.4733172811
651	0.4732199491
652	0.4732032316
653	0.4731926118
654	0.473185874
655	0.4731789271
656	0.473164924
657	0.4731568051
658	0.4731338692
659	0.4731216798
660	0.4731097047
661	0.4731014462
662	0.473090866
663	0.4730820795
664	0.4730628437
665	0.472951257
666	0.4729392367
667	0.4729107845
668	0.4729040144
669	0.4728195346
670	0.4728085579
671	0.47280107
672	0.4727812259
673	0.4727135991
674	0.4727064083
675	0.4726999815
676	0.4726919552
677	0.4726768154
678	0.4726433727
679	0.4726384144
680	0.47262983
681	0.4726158325
682	0.4725765345
683	0.4725626686
684	0.4725552809
685	0.4725493292
686	0.4725403193
687	0.472515655
688	0.4724535672
689	0.4724464045
690	0.47240962
691	0.4723912673
692	0.4723760462
693	0.472364998
694	0.4723532347
695	0.4723421928
696	0.4723333452
697	0.4723087566
698	0.4722832039
699	0.4722673223
700	0.4722581973
701	0.4722362396
702	0.4722301447
703	0.4722217668
704	0.4722130111
705	0.4722033857
706	0.4718883572
707	0.4718611397
708	0.4718528577
709	0.4718420077
710	0.4718354067
711	0.4718238014
712	0.4718134088
713	0.471803194
714	0.4717907963
715	0.4717729243
716	0.4717060889
717	0.4715674069
718	0.4715598102
719	0.4714573283
720	0.4714483306
721	0.4714409033
722	0.4714349526
723	0.4714295697
724	0.4714132763
725	0.4714037084
726	0.4713830484
727	0.4713731714
728	0.4713623274
729	0.4713541113
730	0.4713446146
731	0.4713277302
732	0.4712970338
733	0.471283877
734	0.4712756766
735	0.4712497166
736	0.471220739
737	0.4712129181
738	0.4712004106
739	0.4711939289
740	0.4711867457
741	0.4711821592
742	0.4711660744
743	0.4711590436
744	0.4711493105
745	0.4711369469
746	0.4711231643
747	0.4711135797
748	0.4711030814
749	0.4710893699
750	0.4710798036
751	0.4710713144
752	0.4710620186
753	0.4710529381
754	0.4709116034
755	0.4709026541
756	0.4708906948
757	0.4708784405
758	0.4708715041
759	0.470866345
760	0.4708569165
761	0.4708262195
762	0.470813052
763	0.4708013112
764	0.4707843946
765	0.4707721029
766	0.4707500165
767	0.4707343142
768	0.4707270847
769	0.4707213267
770	0.4707120098
771	0.4707025281
772	0.4706943338
773	0.4706749048
774	0.4706564556
775	0.470579766
776	0.4705631926
777	0.4705573311
778	0.4705427966
779	0.4705321719
780	0.4705222585
781	0.470512953
782	0.4705011964
783	0.4704950871
784	0.470479015
785	0.470449324
786	0.4704407854
787	0.4704328935
788	0.4704250478
789	0.4704103981
790	0.4703876457
791	0.4703795991
792	0.4703720771
793	0.4703645882
794	0.4703539992
795	0.4703452897
796	0.470335852
797	0.4703220778
798	0.4703080587
799	0.4702976025
800	0.4702889632
801	0.4702802017
802	0.4702736361
803	0.4702510874
804	0.4702365203
805	0.4702104963
806	0.4702006174
807	0.4701938494
808	0.4701601672
809	0.4700973683
810	0.4700858472
811	0.4700765705
812	0.4700587496
813	0.4700466575
814	0.4700368086
815	0.4700274019
816	0.4700218848
817	0.4700091731
818	0.4700021357
819	0.4699823291
820	0.46996937
821	0.4699552834
822	0.4699474493
823	0.4699382096
824	0.4699299308
825	0.4699160317
826	0.4699081175
827	0.46989123
828	0.4698360873
829	0.4698209363
830	0.4698098624
831	0.4696400579
832	0.4695773876
833	0.4695662207
834	0.4693593917
835	0.4693270337
836	0.4693144593
837	0.469299305
838	0.4692918385
839	0.4692788939
840	0.469267063
841	0.4692560573
842	0.4692402055
843	0.4692316935
844	0.4692241724
845	0.4692193278
846	0.4691656648
847	0.4691562617
848	0.4691493406
849	0.4688371788
850	0.4688299639
851	0.4688237636
852	0.4687518238
853	0.4687437997
854	0.4687355982
855	0.4687276677
856	0.4687215116
857	0.4687162359
858	0.4686948531
859	0.4686898853
860	0.4686806759
861	0.4686705892
862	0.4686631989
863	0.4686532571
864	0.4686470891
865	0.4686374796
866	0.4686284175
867	0.4686197767
868	0.4686094973
869	0.4686024467
870	0.4685904337
871	0.4685842962
872	0.4685599293
873	0.4685289972
874	0.4685036931
875	0.4684974175
876	0.4684912579
877	0.4684820442
878	0.4684621567
879	0.4681051064
880	0.4680863027
881	0.4680797909
882	0.4680715503
883	0.4680588865
884	0.4680511825
885	0.4680438667
886	0.468036297
887	0.4680296691
888	0.4680159007
889	0.4680071461
890	0.4679911318
891	0.4679813923
892	0.4679687153
893	0.4679589668
894	0.4679518988
895	0.4679453222
896	0.4679359167
897	0.4679307772
898	0.4678335644
899	0.4678255572
900	0.4678180377
901	0.4678115584
902	0.4678059744
903	0.4677991363
904	0.4677860968
905	0.4677562443
906	0.4677405963
907	0.4677310096
908	0.467716283
909	0.4676963197
910	0.4676905646
911	0.4676856543
912	0.4676750775
913	0.4676638089
914	0.4676542157
915	0.4676429541
916	0.4676370826
917	0.4676092888
918	0.4675988927
919	0.4675938005
920	0.4675395181
921	0.4675332483
922	0.4675287244
923	0.4675186618
924	0.4673714322
925	0.4673645633
926	0.4673569957
927	0.4673473621
928	0.4673410575
929	0.4673294261
930	0.4672936767
931	0.4672874404
932	0.4672802071
933	0.4672736141
934	0.4672628425
935	0.4672533661
936	0.4672414115
937	0.4672336015
938	0.4672280927
939	0.4672210297
940	0.4672083658
941	0.467178686
942	0.4671599921
943	0.4671331934
944	0.4671259599
945	0.4671172494
946	0.4671110549
947	0.4671041065
948	0.4670928099
949	0.4670823334
950	0.4670744466
951	0.4670183451
952	0.4670128977
953	0.4670061461
954	0.4669983998
955	0.4669927387
956	0.4669858318
957	0.466939377
958	0.4669234513
959	0.4669173033
960	0.4669074695
961	0.4668960051
962	0.4668898986
963	0.4668817644
964	0.46687039
965	0.4668642117
966	0.4668584068
967	0.4668509628
968	0.4668442677
969	0.4668371172
970	0.4668255868
971	0.4668141233
972	0.4668068004
973	0.466800591
974	0.4667948278
975	0.4667531884
976	0.4667470848
977	0.4667387723
978	0.4667262261
979	0.4666342058
980	0.4666259948
981	0.466611303
982	0.4666037668
983	0.4665880164
984	0.4665756364
985	0.4665674985
986	0.4665357568
987	0.4665267502
988	0.4665190064
989	0.4665130834
990	0.4665033008
991	0.4664966248
992	0.4664876985
993	0.4664727158
994	0.4664615052
995	0.4664514844
996	0.4664423497
997	0.4664346439
998	0.4664275096
999	0.4664194598
